"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Dona","0 anys",203
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","0 anys",59
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","0 anys",36
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","0 anys",59
2020,2,"Eixample",5,"el Fort Pienc","Dona","0 anys",98
2020,2,"Eixample",6,"la Sagrada Família","Dona","0 anys",183
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","0 anys",155
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","0 anys",130
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","0 anys",213
2020,2,"Eixample",10,"Sant Antoni","Dona","0 anys",120
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","0 anys",132
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","0 anys",7
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","0 anys",113
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","0 anys",29
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","0 anys",67
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","0 anys",83
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","0 anys",90
2020,3,"Sants-Montjuïc",18,"Sants","Dona","0 anys",172
2020,4,"Les Corts",19,"les Corts","Dona","0 anys",160
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","0 anys",70
2020,4,"Les Corts",21,"Pedralbes","Dona","0 anys",40
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","0 anys",24
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","0 anys",101
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","0 anys",71
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","0 anys",85
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","0 anys",212
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","0 anys",117
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","0 anys",56
2020,6,"Gràcia",29,"el Coll","Dona","0 anys",26
2020,6,"Gràcia",30,"la Salut","Dona","0 anys",58
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","0 anys",230
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","0 anys",138
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","0 anys",80
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","0 anys",37
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","0 anys",130
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","0 anys",29
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","0 anys",115
